sifrapu,lat,lon
10995,46.049057,14.4972455
11118,46.0498293,14.4977177
12114,46.0516009,14.4991797
12122,46.0516009,14.4991797
12130,46.0559419,14.5052774
12149,46.0655819,14.5090986
12157,46.056071,14.5356146
12165,46.0575941,14.5093737
12173,46.0478557,14.5013041
13110,46.0523563,14.502096
13129,46.0554228,14.5050605
13145,46.0559419,14.5052774
13153,46.0655819,14.5090986
13161,46.082788,14.5139668
14117,46.0487842,14.4983737
15113,46.049057,14.4972455
15121,46.0498293,14.4977177
15156,46.0494817,14.4998506
15172,46.0495824,14.5065169
15180,46.0487842,14.4983737
15229,46.0823081,14.4964146
15237,46.0487842,14.4983737
15245,46.0531162,14.5012704
15326,46.048907,14.4978102
15350,46.048907,14.4978102
15377,46.0494817,14.4998506
15407,46.0487842,14.4983737
15415,46.0539839,14.5128894
16110,46.0531162,14.5012704
16152,46.0526198,14.5025106
16179,46.0561551,14.5055664
16187,46.063655,14.5085573
16195,46.0384398,14.4669985
16209,46.0641693,14.5280845
16411,46.0458792,14.4903934
16420,46.0516838,14.5117993
16438,46.409,16.1509677
16446,46.0501882,14.4999565
16462,46.5631517,15.6570853
16470,46.0520118,14.4972211
16527,46.0553688,14.5154062
16535,46.0462632,14.489921
16543,46.2431349,14.3557415
16551,46.5600177,15.6373606
16560,46.0562912,14.5121435
16586,46.0562912,14.5121435
16594,46.0712027,14.514757
16608,46.0660317,14.5092631
16900,46.1540221,15.235297
17116,46.0533917,14.5035115
17140,46.0533917,14.5035115
17159,46.0533917,14.5035115
18112,46.0517091,14.4986584
18406,46.6513295,16.3520817
18422,45.5463196,13.7288436
18430,46.5735965,16.4480421
18449,46.561933,16.4526425
18457,46.7424574,16.3089859
18465,45.5286042,13.5690385
18473,45.5384855,13.6582233
18481,45.5463196,13.7288436
18490,46.7944861,16.2346694
18503,46.8275667,16.3252599
19119,46.0714359,14.5190524
19127,46.0726586,14.5192079
19135,46.0726586,14.5192079
19143,46.0714359,14.5190524
19151,46.0714359,14.5190524
19410,45.8850337,13.9044645
19429,46.2402233,15.2655979
19437,45.5389671,13.7326358
19445,46.2546982,14.3549566
19453,45.956322,15.4899527
19461,46.0687484,14.5169354
19470,46.5402891,15.6436507
19488,45.9609911,13.6508918
19496,45.8131966,15.1742396
19500,46.5440676,14.9617233
19518,45.7035594,13.8716019
19526,46.1675296,15.0519946
19534,46.430114,14.0751124
20117,46.0574219,14.5051416
20303,46.0531162,14.5012704
20311,46.0605046,14.4990822
20320,46.0455295,14.4913182
21113,46.0540344,14.5125251
21202,46.0564981,14.5142612
21210,46.0564981,14.5142612
21300,46.0539839,14.5128894
21318,46.0544225,14.5130372
21326,46.2377689,15.2621748
21334,46.082788,14.5139668
21415,45.548059,13.7301877
21423,46.625456,16.3144961
21431,46.6627326,16.163722
21440,46.0569465,14.5057515
21474,45.6820504,13.9672858
21482,46.5522165,15.6514871
21490,45.5670276,14.242777
21504,46.2255573,14.611557
21515,46.2397495,15.2677063
21520,46.2225695,15.3976322
21539,46.3936753,15.5737825
21547,46.5186103,16.1951967
21563,46.2723542,13.9550601
21571,46.3685504,15.1027615
21585,46.1677127,14.3117482
21598,46.4423751,14.028445
21601,45.6440186,14.8604293
21628,46.338281,13.5522291
21635,46.6767099,15.9910846
21644,46.5616053,15.6425855
21652,46.049303,14.4604421
21660,46.0693078,14.5484774
21687,46.2475642,13.5791703
21695,46.1819984,13.7336164
23116,46.0658916,14.510004
23302,46.062171,14.5090802
23310,46.082788,14.5139668
23329,46.0658916,14.510004
23337,46.0658916,14.510004
23345,46.0651055,14.5134751
23353,46.0810136,14.4965361
23361,46.0660317,14.5092631
23370,46.062171,14.5090802
23418,45.667391,13.8794153
23426,46.0524331,14.4811995
23450,46.0700475,14.4879391
23469,46.0700475,14.4879391
23477,46.5670885,15.639784
23485,46.4162887,15.8819969
23493,46.2460256,15.2856615
23507,45.9604797,13.6589245
23515,46.6626077,16.1461058
23523,46.241532,14.3544438
23531,45.7990031,15.1609121
24112,46.0456679,14.4921051
24155,46.0458923,14.4919609
24180,46.0458923,14.4919609
24309,46.0455145,14.4921606
24317,46.0462796,14.4919123
24325,45.5483782,13.7250311
24333,46.0463794,14.5172698
24341,46.0444942,14.5079989
25119,46.0640071,14.5092494
25127,46.0463794,14.5172698
25224,46.0640756,14.5082621
25232,46.3628513,14.082058
25305,45.5210281,15.31361
25313,45.965147,15.4861124
25330,45.5152173,13.5967761
25348,45.9894784,14.4027237
25410,46.0408474,15.590311
25429,46.3684299,14.1189503
25437,45.6634063,13.99333
25445,46.0488117,14.493933
26115,46.0563048,14.5141708
26131,46.0781265,14.5012208
26409,46.0574467,14.5101058
26417,46.0610774,14.5073058
26425,46.0474981,14.4829955
26433,46.0437782,14.5115343
26441,46.5416406,15.6202767
26450,46.5586095,15.6344315
26468,45.8828062,13.9133448
26476,46.2293226,15.258623
26484,45.5798532,15.1852576
26492,46.1376435,14.5958749
26506,46.5891771,14.9986551
26514,45.9632016,14.6624771
26522,46.1416728,15.0821643
26530,46.0029454,14.0278459
26549,45.5672559,14.2484342
26557,45.5394067,13.6607332
26565,46.4425892,14.0395103
26573,46.2291031,14.6181342
26581,46.5257075,15.6790174
26590,45.6398552,14.8669093
26603,45.5412748,13.7071534
26611,46.2344395,14.360882
26620,45.944348,15.4850338
26638,46.5681094,16.4489881
26646,46.0538279,14.515034
26654,46.0513275,14.4482349
26662,46.0842782,14.5128491
26670,46.0535566,14.5420414
26689,46.0795064,14.4750271
26697,45.9189528,14.2173441
26700,46.5545941,15.6693721
26719,46.1685379,14.5730343
26727,45.6497242,15.3181625
26735,46.6497133,16.19054
26743,45.8836919,13.7186378
26751,45.9521095,13.6480089
26760,45.7958789,15.1650002
26778,46.2837904,15.0749387
26786,45.7662665,14.2133591
26794,46.3055551,14.4330195
26808,46.4242059,15.8735994
26816,46.3432814,14.1791615
26824,46.0564082,15.2081648
26832,45.9916671,15.3554381
26840,45.7081743,13.86385
26859,46.3046115,15.5806947
26867,46.3382036,15.4199341
26875,46.2227782,15.4004853
26883,46.2267836,15.5174903
26891,46.213435,13.9717408
26905,46.1501628,15.0528148
26913,45.9082824,15.0173781
26921,46.3531774,14.2895404
26930,46.3644772,15.1127561
26948,45.9642956,14.2889586
